STRTNO,SIZE,year,yng,DEPLY,size2,surv
86,15.82,5,1,0,250.2724,1
86,15.82,6,0,0,250.2724,1
86,15.82,7,0,0,250.2724,0
86,15.82,8,0,0,250.2724,0
87,0.63,1,10,1,0.3969,0
87,0.63,2,12,1,0.3969,0
87,0.63,3,0,1,0.3969,0
87,0.63,4,11,1,0.3969,0
87,0.63,5,12,1,0.3969,0
87,0.63,6,0,1,0.3969,0
87,0.63,7,0,1,0.3969,0
87,0.63,8,0,1,0.3969,0
88,0.63,1,7,0,0.3969,0
88,0.63,2,11,0,0.3969,0
88,0.63,3,11,0,0.3969,0
88,0.63,4,0,0,0.3969,0
88,0.63,5,13,0,0.3969,1
88,0.63,6,0,0,0.3969,0
88,0.63,7,0,0,0.3969,0
88,0.63,8,0,0,0.3969,1
89,3.24,1,0,0,10.4976,0
89,3.24,2,15,0,10.4976,0
89,3.24,3,15,0,10.4976,0
89,3.24,4,0,0,10.4976,1
89,3.24,5,10,0,10.4976,0
89,3.24,6,10,0,10.4976,1
89,3.24,7,12,0,10.4976,0
89,3.24,8,0,0,10.4976,0
90,0.57,1,10,0,0.3249,0
90,0.57,2,11,0,0.3249,0
90,0.57,3,11,0,0.3249,0
90,0.57,4,0,0,0.3249,0
90,0.57,5,8,0,0.3249,0
90,0.57,6,13,0,0.3249,0
90,0.57,7,5,0,0.3249,0
90,0.57,8,10,0,0.3249,0
91,1.44,1,0,0,2.0736,0
91,1.44,2,0,0,2.0736,0
91,1.44,3,0,0,2.0736,1
91,1.44,4,0,0,2.0736,0
91,1.44,5,0,0,2.0736,0
91,1.44,6,0,0,2.0736,0
91,1.44,7,0,0,2.0736,0
91,1.44,8,0,0,2.0736,0
92,0.33,1,10,0,0.1089,0
92,0.33,2,0,0,0.1089,0
92,0.33,3,10,0,0.1089,1
92,0.33,4,11,0,0.1089,0
92,0.33,5,5,0,0.1089,0
92,0.33,6,0,0,0.1089,0
92,0.33,7,10,0,0.1089,0
92,0.33,8,16,0,0.1089,1
93,0.11,1,0,0,0.0121,0
93,0.11,2,0,0,0.0121,0
93,0.11,3,0,0,0.0121,0
93,0.11,4,0,0,0.0121,0
93,0.11,5,0,0,0.0121,0
93,0.11,6,0,0,0.0121,0
93,0.11,7,0,0,0.0121,0
93,0.11,8,0,0,0.0121,0
94,0,1,0,0,0,0
94,0,2,0,0,0,0
94,0,3,0,0,0,0
94,0,4,0,0,0,0
94,0,5,0,0,0,0
94,0,6,11,0,0,0
94,0,7,0,0,0,0
94,0,8,0,0,0,0
95,0.32,1,7,1,0.1024,0
95,0.32,2,11,1,0.1024,0
95,0.32,3,19,1,0.1024,0
95,0.32,4,18,1,0.1024,0
95,0.32,5,20,1,0.1024,0
95,0.32,6,12,1,0.1024,0
95,0.32,7,9,1,0.1024,0
95,0.32,8,0,1,0.1024,1
96,0.78,1,0,1,0.6084,0
96,0.78,2,0,1,0.6084,1
96,0.78,3,0,1,0.6084,0
96,0.78,4,20,1,0.6084,0
96,0.78,5,11,1,0.6084,0
96,0.78,6,12,1,0.6084,0
96,0.78,7,12,1,0.6084,0
96,0.78,8,11,1,0.6084,0
97,26.88,1,0,1,722.5344,0
97,26.88,2,0,1,722.5344,0
97,26.88,3,0,1,722.5344,1
97,26.88,4,0,1,722.5344,1
97,26.88,5,15,1,722.5344,0
97,26.88,6,9,1,722.5344,1
97,26.88,7,12,1,722.5344,0
97,26.88,8,12,1,722.5344,0
98,26.88,1,0,0,722.5344,0
98,26.88,2,0,0,722.5344,0
98,26.88,3,11,0,722.5344,0
98,26.88,4,9,0,722.5344,0
98,26.88,5,12,0,722.5344,1
98,26.88,6,0,0,722.5344,1
98,26.88,7,8,0,722.5344,0
98,26.88,8,12,0,722.5344,1
99,0,1,0,0,0,0
99,0,2,0,0,0,0
99,0,3,0,0,0,0
99,0,4,0,0,0,0
99,0,5,0,0,0,0
99,0,6,0,0,0,0
99,0,7,0,0,0,0
99,0,8,0,0,0,1
100,0,1,0,0,0,0
100,0,2,0,0,0,0
100,0,3,0,0,0,0
100,0,4,0,0,0,0
100,0,5,0,0,0,0
100,0,6,0,0,0,0
100,0,7,0,0,0,0
100,0,8,0,0,0,0
101,0,1,0,0,0,0
101,0,2,0,0,0,0
101,0,3,0,0,0,0
101,0,4,0,0,0,0
101,0,5,0,0,0,0
101,0,6,0,0,0,0
101,0,7,0,0,0,0
101,0,8,0,0,0,0
102,4.44,1,10,0,19.7136,0
